x,y,Topic,Length
4.6279383,4.8428173,0,596
1.6230263,8.250657,28,528
2.6708655,6.0141854,54,1344
7.2707286,4.050869,1,568
7.8617826,3.9518824,32,348
2.6636274,-0.50394386,0,814
9.431042,5.933239,3,310
1.7155588,3.5320463,2,1227
9.175695,5.7545137,3,705
0.824267,6.7583585,4,1944
4.6436324,4.9492936,38,574
2.2524595,6.832963,4,582
2.848427,5.6563883,10,835
-1.5924414,9.483813,19,1092
4.642448,4.957841,38,1297
5.3514423,9.467297,6,305
4.651363,4.978936,38,660
4.17106,4.6933565,58,841
4.517375,-0.4977065,0,737
6.6381164,4.357433,1,1320
7.27634,3.4287913,1,1048
7.3293705,3.466194,1,350
7.2650323,3.536635,2,574
7.481555,3.5800943,1,806
7.277534,4.11546,1,1796
-0.40689385,9.842033,27,757
1.2720757,5.778705,44,654
8.676423,5.973025,3,411
5.651042,3.7474506,17,848
5.296045,9.468045,6,810
-1.4024414,9.446434,19,1043
8.611294,3.0016994,1,606
5.1690707,9.387998,6,1266
4.545578,-0.4968093,0,565
-0.38597932,9.792506,27,723
2.2408876,6.70724,4,752
8.140424,1.7378118,11,443
7.1042066,4.0060987,1,537
4.654301,3.0124514,17,632
4.8567443,9.74692,6,1318
9.0315075,5.494881,3,404
0.84980315,6.52711,4,620
6.515256,4.2666793,1,366
5.273038,9.488968,6,2006
7.226717,3.414255,1,641
4.6368546,5.0118446,38,721
3.0692632,-0.51304495,0,376
6.8456044,3.8260515,1,502
4.5553646,5.001635,38,605
6.1444597,3.261342,1,458
0.8645141,7.184183,4,985
7.2896767,9.614531,34,413
7.9515834,2.14223,11,383
7.6722546,4.2916045,1,685
7.594216,2.3211393,11,438
1.1025187,6.951363,4,527
5.485798,9.460257,6,1823
1.6240479,2.8217404,2,737
2.62103,-0.011215935,0,396
5.2765427,9.617312,6,361
8.905221,3.4516833,60,918
7.1573806,3.6091542,1,197
1.8304039,7.2874155,4,325
4.57584,4.9808474,38,852
7.0722136,3.6368232,1,443
7.2703753,2.7502499,41,902
4.2274594,-0.34405288,0,560
7.0120826,3.6163552,1,546
8.089483,1.9834378,11,447
1.6763887,2.8957489,2,1436
9.474007,5.9045544,3,954
0.91248584,6.6700845,4,922
1.5401359,2.9292498,2,780
1.2726634,7.3745713,4,849
0.816498,6.661347,4,787
0.948898,7.1409054,4,1217
4.5056214,-0.4873938,0,664
4.5697217,-0.4702558,0,634
5.2101808,9.377449,6,688
7.0044727,3.7116587,1,354
7.377479,3.5157623,1,642
1.9455222,8.371967,28,977
5.3046417,9.476213,6,1467
5.9547076,3.0291164,1,994
3.8455386,5.1082377,59,533
2.6502986,6.567566,54,646
8.079507,1.9690248,11,333
5.3053465,9.42484,6,2022
8.575324,1.9394526,11,1079
4.5559406,4.9738126,38,613
8.516404,2.4466002,11,428
7.0316696,3.6054564,1,444
1.6915699,3.2941976,2,882
7.251525,3.7927985,1,518
7.2508426,3.6693053,1,308
5.324969,9.549023,6,514
9.270356,5.806784,3,652
9.191396,5.727226,3,665
6.3230653,1.9076583,1,980
-1.6472636,9.329796,19,661
2.3123662,6.8081713,4,436
-0.40518597,9.737475,27,388
0.7680946,6.6253815,4,841
4.3648605,4.7321253,58,1237
7.357413,3.5210814,1,401
-0.12516208,8.363897,16,387
5.3839498,9.455974,6,1457
3.1521583,6.5738826,4,286
7.6080513,3.2466087,11,464
5.354116,9.480636,6,1489
7.296705,4.1390467,1,850
6.139321,3.392751,1,762
7.9981565,1.9781429,11,593
5.2954564,3.178898,17,1096
5.9882026,3.288597,1,929
6.241716,3.376817,1,649
7.9907126,2.203008,11,701
1.7665569,8.351106,28,1662
6.2396593,3.3777065,1,649
8.019515,4.1848826,1,463
9.349002,5.8565054,3,2457
2.0400043,6.997023,4,1230
9.567011,6.0044117,11,677
2.255218,6.8019056,4,510
0.19234574,8.202246,16,1774
0.79252917,2.8548133,2,753
0.68230134,2.7580206,2,1324
3.9699428,2.9752812,23,1059
1.0025483,2.796411,2,715
-0.40357956,9.852957,27,432
2.9458342,5.444218,10,875
6.864977,3.8214977,1,2237
